feature_method,degree,n_components,gamma,accuracy,precision,recall,f1_score,C
Linear,1,5,0.5,0.748,0.4782608695652174,0.1774193548387097,0.25882352941176473,1.0
Linear,1,10,0.5,0.748,0.4782608695652174,0.1774193548387097,0.25882352941176473,1.0
polynomial,2,5,0.1,0.756,0.5454545454545454,0.0967741935483871,0.1643835616438356,1.0
polynomial,2,10,0.1,0.756,0.5454545454545454,0.0967741935483871,0.1643835616438356,1.0
polynomial,2,5,0.5,0.756,0.5454545454545454,0.0967741935483871,0.1643835616438356,1.0
polynomial,2,10,0.5,0.756,0.5454545454545454,0.0967741935483871,0.1643835616438356,1.0
pca,1,5,0.1,0.756,0.5238095238095238,0.1774193548387097,0.26506024096385544,1.0
pca,1,10,0.1,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
pca,1,5,0.5,0.756,0.5238095238095238,0.1774193548387097,0.26506024096385544,1.0
pca,1,10,0.5,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
rbf,1,5,0.1,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
rbf,1,10,0.1,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
rbf,1,5,0.5,0.752,0.5,0.04838709677419355,0.08823529411764706,1.0
rbf,1,10,0.5,0.752,0.5,0.04838709677419355,0.08823529411764706,1.0
Linear,1,5,0.1,0.748,0.4782608695652174,0.1774193548387097,0.25882352941176473,1.0
Linear,1,10,0.1,0.748,0.4782608695652174,0.1774193548387097,0.25882352941176473,1.0
Linear,1,5,0.5,0.748,0.4782608695652174,0.1774193548387097,0.25882352941176473,1.0
Linear,1,10,0.5,0.748,0.4782608695652174,0.1774193548387097,0.25882352941176473,1.0
polynomial,3,5,0.1,0.752,0.0,0.0,0.0,1.0
polynomial,3,10,0.1,0.752,0.0,0.0,0.0,1.0
polynomial,3,5,0.5,0.752,0.0,0.0,0.0,1.0
polynomial,3,10,0.5,0.752,0.0,0.0,0.0,1.0
pca,1,5,0.1,0.756,0.5238095238095238,0.1774193548387097,0.26506024096385544,1.0
pca,1,10,0.1,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
pca,1,5,0.5,0.756,0.5238095238095238,0.1774193548387097,0.26506024096385544,1.0
pca,1,10,0.5,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
rbf,1,5,0.1,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
rbf,1,10,0.1,0.744,0.45454545454545453,0.16129032258064516,0.23809523809523808,1.0
rbf,1,5,0.5,0.752,0.5,0.04838709677419355,0.08823529411764706,1.0
rbf,1,10,0.5,0.752,0.5,0.04838709677419355,0.08823529411764706,1.0
