feature_method,degree,n_components,gamma,accuracy_validation,accuracy_train,precision_validation,recall_validation,f1_validation,precision_train,recall_train,f1_train,C,penalty,random_state
pca,1,10,0.1,0.752,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
pca,1,5,0.5,0.748,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
pca,1,10,0.5,0.752,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
Linear,1,10,0.5,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
Linear,1,5,0.5,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
Linear,1,10,0.1,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
Linear,1,5,0.1,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
rbf,1,10,0.5,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.001,l2,42
rbf,1,5,0.5,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.001,l2,42
rbf,1,10,0.1,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.001,l2,42
rbf,1,5,0.1,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.001,l2,42
Linear,1,10,0.5,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
Linear,1,5,0.5,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
Linear,1,10,0.1,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
Linear,1,5,0.1,0.752,0.7684069611780455,0.0,0.0,0.0,1.0,0.005747126436781609,0.011428571428571429,0.001,l2,42
pca,1,5,0.1,0.748,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
pca,1,10,0.1,0.752,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
pca,1,5,0.5,0.748,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
pca,1,10,0.5,0.752,0.7684069611780455,0.0,0.0,0.0,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.001,l2,42
rbf,1,10,0.5,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.1,l2,42
rbf,1,5,0.5,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.1,l2,42
rbf,1,5,0.5,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.1,l2,42
rbf,1,10,0.5,0.752,0.7670682730923695,0.0,0.0,0.0,0.0,0.0,0.0,0.1,l2,42
